Healthy	Unhealthy	Background
74,96,73	184,160,126	5,13,15
108,125,106	166,142,106	9,13,14
103,122,103	168,144,108	13,14,16
101,119,103	169,145,109	12,16,19
128,142,127	200,178,141	13,17,18
117,131,116	199,177,140	13,15,14
105,122,106	196,174,135	14,14,16
108,126,104	192,182,85	14,14,16
106,124,102	194,184,86	15,15,17
105,120,99	195,186,91	15,15,17
80,107,76	206,192,157	8,13,16
78,105,72	203,189,154	8,13,16
79,109,73	201,187,152	7,12,15
107,128,97	164,142,69	9,13,16
103,124,93	167,144,74	13,14,18
108,129,98	167,144,74	8,14,14
138,147,126	169,145,75	8,13,16
132,142,117	172,148,78	9,14,18
106,117,87	175,151,79	9,16,22
80,108,85	189,168,137	9,17,20
75,101,76	187,164,130	5,13,15
68,92,66	186,162,128	9,13,14
102,119,101	168,142,105	13,14,16
104,122,106	166,142,104	12,16,19
104,125,108	166,142,104	13,17,18
117,131,116	199,177,140	12,14,13
111,125,112	198,174,136	13,13,15
105,121,108	196,172,134	14,14,16
100,119,97	192,184,86	16,16,18
97,119,96	194,185,92	16,16,18
100,119,97	194,187,97	9,14,17
74,101,68	204,190,155	9,14,17
75,102,67	201,188,153	8,13,16
78,108,72	201,188,153	9,13,16
113,132,104	164,142,69	12,13,17
112,132,104	166,142,72	2,8,6
112,131,103	167,144,74	4,10,10
133,142,121	173,146,75	5,11,11
126,136,112	176,149,78	4,8,11
116,129,101	180,154,80	4,8,9
74,102,77	189,168,137	12,13,18
69,95,70	191,168,134	12,13,17
75,99,73	186,162,128	15,14,19
94,111,93	173,147,110	17,15,18
101,119,103	170,144,107	17,16,21
106,127,110	166,140,103	13,19,17
109,123,108	196,174,137	13,22,19
104,118,105	196,172,134	16,25,20
100,116,103	196,172,134	22,32,24
94,113,91	191,183,85	26,36,28
93,115,92	194,185,94	16,14,17
96,115,93	191,184,96	13,13,15
71,98,65	203,189,154	13,13,15
77,104,69	200,187,152	13,12,17
77,107,71	203,190,155	13,12,17
123,142,114	162,140,67	13,14,18
119,139,111	167,143,73	11,12,14
112,131,103	168,145,75	9,10,12
133,142,121	175,148,77	7,11,12
120,130,106	177,150,79	7,11,12
118,131,103	181,155,81	4,8,7
113,139,102	174,171,66	3,9,7
120,146,109	176,173,70	5,9,10
125,151,114	178,174,75	6,10,11
119,150,116	197,171,134	7,11,10
103,134,100	195,167,128	10,13,18
94,126,89	198,169,129	13,14,18
118,143,113	203,175,110	14,15,19
110,135,105	205,177,114	19,17,20
109,134,105	205,179,118	20,19,24
69,94,62	202,186,152	16,20,19
46,73,38	203,187,153	18,24,20
46,76,42	204,189,156	18,28,20
47,87,34	168,144,72	23,30,23
50,90,37	165,141,71	25,32,24
54,94,41	163,139,69	13,13,13
74,107,60	153,135,99	11,11,13
82,118,72	153,135,99	12,12,14
90,125,83	156,138,102	13,12,17
126,167,99	168,160,51	12,11,16
127,168,102	169,162,56	12,11,16
122,164,98	171,162,57	11,10,15
67,121,35	177,172,70	11,11,13
67,123,36	180,175,75	10,11,13
68,124,37	181,175,79	7,11,12
116,140,106	197,172,132	4,8,7
121,147,112	196,168,128	3,9,7
128,154,119	198,169,129	5,9,10
122,156,123	209,181,118	6,10,11
109,143,108	211,182,122	6,10,9
92,126,89	213,184,126	10,13,18
110,135,105	204,188,154	13,14,18
105,132,101	202,187,154	14,15,19
109,134,104	204,189,156	19,17,20
75,102,69	169,145,71	21,20,25
63,90,57	165,141,67	17,21,20
49,79,45	161,137,65	20,26,22
47,88,32	150,132,96	20,30,22
49,90,34	151,133,95	22,29,22
55,96,40	155,137,101	22,29,21
69,102,55	165,158,51	13,13,13
79,112,67	167,160,54	11,11,13
87,119,78	170,163,57	12,12,14
107,146,79	180,174,76	13,12,17
105,146,80	183,177,81	12,11,16
107,149,85	184,177,86	12,11,16
65,121,32	198,170,131	12,11,16
67,123,34	195,166,126	11,10,15
66,125,35	196,164,125	10,11,15
113,137,103	215,186,126	7,11,14
120,146,111	217,188,130	4,8,7
120,146,111	220,191,135	3,9,7
121,154,123	206,190,156	4,8,7
111,145,112	204,189,156	6,8,7
104,138,105	203,188,155	7,9,8
109,134,104	168,144,70	9,13,16
105,132,101	164,140,66	9,13,16
107,132,102	161,137,65	10,14,17
89,116,85	149,131,95	15,16,20
82,109,76	151,133,95	18,19,23
51,81,47	155,137,101	18,20,19
48,89,33	164,157,50	19,24,20
51,92,36	166,159,55	21,28,21
59,100,44	167,160,56	21,28,20
65,98,51	134,116,18	21,28,20
71,104,59	137,114,18	12,12,12
77,109,68	136,113,17	11,11,11
89,128,63	150,131,36	12,12,14
87,128,62	147,131,36	13,13,15
88,130,64	148,129,34	12,12,14
66,122,33	152,114,67	13,14,16
67,123,34	155,117,72	13,13,15
65,124,34	154,116,71	11,12,14
116,146,108	192,182,84	10,11,15
121,148,115	193,183,85	8,12,15
129,154,122	195,185,88	5,9,8
52,96,45	180,192,66	6,12,10
51,95,42	178,189,67	6,10,9
52,97,42	180,192,68	7,9,8
80,124,75	196,184,158	7,9,8
82,124,78	194,183,155	8,12,15
84,123,78	188,177,149	8,12,15
65,109,50	160,147,55	9,13,16
58,102,43	160,150,55	13,14,18
54,98,39	160,150,53	16,17,21
89,134,77	136,116,19	16,18,17
93,138,83	137,115,16	17,22,18
95,139,86	134,112,13	20,27,20
34,76,30	150,131,37	21,28,21
34,76,30	150,131,36	21,28,21
32,74,26	149,130,35	12,12,12
110,140,102	153,117,69	13,13,13
116,143,108	154,117,72	13,13,15
125,152,121	152,115,70	13,13,15
49,96,42	192,182,85	13,13,15
48,97,42	191,181,83	13,14,16
50,97,42	194,184,87	13,13,15
91,133,87	181,192,70	10,11,13
91,133,87	180,191,71	9,10,14
89,128,84	182,193,71	8,12,15
61,110,45	194,183,155	12,13,17
57,103,39	192,181,151	11,12,17
54,100,38	188,177,147	9,13,16
84,129,74	160,150,53	8,13,16
89,133,80	158,148,51	7,12,15
88,132,81	160,150,55	25,24,22
31,73,27	135,115,18	23,22,18
30,72,26	137,115,16	23,22,20
30,72,26	136,114,15	24,25,20
111,141,103	152,131,38	26,27,21
115,142,107	151,132,37	51,39,27
123,150,119	153,134,39	48,35,26
47,94,40	156,120,72	44,34,25
47,96,41	154,117,72	38,29,24
50,97,42	149,112,67	32,24,21
95,137,91	191,181,84	12,16,17
95,134,90	191,181,83	10,15,18
89,126,83	192,182,85	10,16,16
57,106,41	184,195,77	11,15,16
57,103,39	183,193,78	11,15,16
58,104,42	184,195,77	12,13,17
81,126,71	193,179,152	12,13,17
85,129,76	194,179,150	9,13,16
84,128,77	191,176,147	8,12,15
29,71,25	158,148,53	8,12,15
28,70,24	156,146,49	22,23,18
29,71,25	158,148,53	19,21,18
101,130,102	157,146,124	19,21,18
101,130,102	152,141,119	21,23,20
96,125,95	149,138,116	26,27,22
110,140,104	195,171,135	51,37,26
104,134,98	195,169,136	49,37,25
90,118,80	193,167,132	46,36,26
36,66,32	217,199,159	42,33,26
42,72,38	216,196,159	36,29,23
44,74,40	216,196,159	15,16,20
69,108,63	203,190,94	11,16,19
64,103,58	205,193,95	12,16,19
58,97,50	208,194,97	11,15,18
44,71,54	169,164,82	10,14,17
34,61,44	172,167,85	12,13,17
23,50,35	172,167,85	12,13,17
43,81,42	174,163,74	9,13,16
44,82,45	176,164,78	8,12,15
41,78,45	177,167,82	8,12,15
30,72,26	113,85,35	21,22,17
32,71,26	113,87,36	20,22,19
33,72,27	113,87,36	20,22,21
103,132,102	159,151,130	21,23,20
96,125,95	155,147,126	24,25,20
86,115,84	148,140,119	49,35,24
93,123,85	194,168,133	51,34,24
90,120,82	194,168,133	50,36,27
83,114,73	194,168,133	47,34,28
34,64,26	217,198,156	43,32,28
38,68,30	217,198,158	13,14,19
37,67,29	215,196,154	11,16,19
60,100,50	203,189,90	12,16,19
55,95,45	205,193,95	11,15,18
48,86,35	208,194,97	11,15,18
50,74,58	167,162,80	13,17,20
37,61,45	170,165,83	12,16,19
25,49,33	170,165,84	11,15,18
44,80,42	176,163,71	9,13,16
43,79,43	177,163,74	9,13,16
41,78,45	177,165,79	20,19,17
32,71,24	113,88,34	20,20,18
32,71,24	114,89,35	21,23,20
34,73,28	115,90,36	23,24,18
107,136,108	159,151,130	24,25,17
99,128,98	153,145,124	50,33,25
95,124,94	147,139,120	50,33,23
78,108,70	193,167,134	50,36,27
78,108,70	193,167,132	48,35,27
77,108,67	194,168,133	45,34,28
28,58,20	219,200,158	10,14,17
33,63,25	218,196,155	11,15,18
35,65,27	216,194,153	13,14,18
50,90,40	203,189,90	13,14,18
47,87,37	204,192,94	10,14,17
44,82,31	207,193,96	17,21,24
51,75,61	167,162,81	15,19,22
41,65,49	168,163,82	13,17,20
29,53,37	169,164,83	11,15,18
44,80,44	176,163,71	11,15,18
45,80,47	177,163,74	18,17,15
43,80,49	176,165,76	19,19,17
31,70,25	114,89,35	21,23,20
32,71,26	115,90,36	24,25,19
33,72,28	117,92,38	25,26,18
139,170,128	99,94,72	48,31,23
125,156,112	100,92,71	49,32,22
123,154,110	99,88,68	51,34,26
113,149,79	111,108,93	49,34,27
118,155,85	98,94,82	48,35,29
116,153,84	91,85,73	8,13,16
123,154,97	202,183,125	11,12,16
125,156,99	203,182,129	11,12,16
129,160,101	207,186,141	12,13,17
68,115,35	159,142,114	10,14,17
69,116,36	164,148,115	18,22,23
71,118,38	168,149,116	19,23,26
105,144,91	205,191,152	21,22,26
102,140,89	203,190,146	23,24,29
102,141,88	201,187,142	27,30,35
117,149,108	106,97,88	19,18,16
124,160,116	97,92,86	27,23,22
121,157,113	89,84,80	38,33,27
122,153,111	140,132,85	77,69,56
119,150,108	136,123,78	107,96,78
120,153,110	133,120,76	15,15,13
88,120,96	96,96,68	12,12,12
86,119,92	97,91,65	12,12,12
91,124,97	98,87,65	14,14,14
137,168,124	109,110,96	16,16,16
131,162,118	102,98,87	9,10,14
122,153,109	94,88,76	8,12,15
107,148,72	204,185,129	8,12,15
107,145,72	203,185,135	10,11,15
102,139,69	208,191,147	10,11,15
133,162,108	167,150,122	12,18,14
125,154,98	171,155,122	15,19,22
131,160,104	171,152,119	15,19,22
70,119,40	204,192,152	18,21,26
72,121,40	204,191,149	22,26,29
72,121,40	200,187,143	20,19,15
102,141,86	106,96,87	28,24,21
102,139,85	96,89,81	46,39,31
101,138,84	90,81,74	88,79,64
119,155,109	135,131,86	127,114,95
122,158,114	132,121,75	15,15,13
127,165,118	128,117,72	13,13,13
114,145,103	95,96,65	13,13,13
117,148,106	94,88,62	15,15,15
122,153,111	95,85,60	16,16,18
94,124,100	100,101,87	7,11,14
95,125,101	99,95,84	6,11,14
99,129,103	94,88,76	6,11,14
144,175,131	205,185,134	7,11,14
147,178,134	206,188,142	7,11,14
131,162,118	211,193,153	10,16,14
99,140,62	178,157,130	12,16,19
99,137,62	172,151,120	13,17,20
106,144,71	171,148,116	14,17,22
128,156,105	203,191,153	21,25,28
125,153,102	203,190,148	21,20,16
127,156,102	202,189,145	27,23,20
71,120,41	115,100,93	47,40,32
75,124,43	105,94,88	96,87,70
77,126,45	94,83,77	138,126,104
106,143,89	132,127,87	16,16,14
105,142,88	131,124,78	15,15,15
101,138,84	127,118,75	15,15,15
123,156,111	213,208,170	15,15,15
119,155,111	210,202,163	17,17,19
123,161,114	211,203,164	7,11,14
109,140,96	219,203,143	5,10,13
110,141,97	224,205,146	6,11,14
109,140,98	227,208,150	7,11,14
96,126,102	174,166,93	7,11,14
100,130,106	178,170,107	11,17,17
102,132,106	185,173,115	9,14,17
150,173,153	120,76,65	9,14,17
122,146,124	111,67,56	11,16,19
115,139,113	109,65,56	14,19,22
84,115,81	183,176,104	21,20,16
87,118,86	186,179,107	23,22,17
91,120,89	186,179,107	50,43,33
111,135,103	145,127,77	99,87,71
101,127,92	157,142,101	123,111,87
137,160,131	172,158,119	16,16,16
101,124,95	198,187,105	15,15,17
100,123,94	199,186,107	13,13,15
96,122,95	199,186,107	14,14,16
91,120,76	209,204,166	16,16,18
89,116,73	212,204,165	6,10,13
90,122,75	210,203,161	5,10,13
103,143,93	219,205,144	6,11,14
103,143,93	222,206,147	7,11,14
103,143,93	222,205,149	7,11,14
188,209,194	175,168,96	21,22,24
144,167,147	180,170,108	23,25,24
109,133,107	186,174,116	25,27,26
100,130,96	122,80,64	26,28,27
97,128,94	112,70,56	27,29,28
97,128,94	108,69,54	10,15,18
112,136,104	188,181,109	10,15,18
109,134,102	190,183,115	10,15,18
142,165,136	191,184,112	10,15,18
99,124,94	142,129,77	11,16,19
95,120,91	155,142,100	22,21,17
95,119,93	169,157,117	26,25,20
83,112,66	196,184,102	49,42,32
88,117,71	195,182,103	85,73,59
93,122,78	195,182,104	112,100,78
100,143,90	207,202,164	13,13,13
108,148,96	211,203,164	13,13,15
108,148,96	210,203,161	11,11,13
188,208,196	217,202,145	12,12,14
163,186,168	218,201,145	13,13,15
121,145,121	219,202,148	5,9,12
112,142,108	174,166,94	5,10,13
112,143,109	178,167,105	6,11,14
107,138,104	182,167,110	7,11,14
112,136,104	123,84,67	7,11,14
111,136,104	114,75,60	24,24,24
127,150,122	110,73,55	26,26,26
93,118,88	194,187,115	27,27,27
90,115,86	196,188,123	28,28,28
92,116,90	194,187,115	30,30,30
82,111,65	150,137,85	25,25,25
86,115,69	158,145,103	26,26,26
95,123,82	169,157,117	27,27,27
96,139,85	196,184,102	29,29,29
104,144,92	194,181,102	31,31,31
99,139,87	193,180,101	26,26,24
31,67,31	149,142,90	26,26,24
30,66,28	154,146,100	27,27,25
29,65,27	154,143,97	29,29,27
27,57,19	193,179,90	30,30,28
26,56,18	191,178,82	26,26,24
24,51,16	188,178,81	27,27,25
48,91,37	138,109,101	28,28,26
50,93,37	144,115,107	28,28,26
52,95,39	147,120,109	28,28,26
120,153,106	107,98,81	12,13,15
134,162,124	107,91,75	12,14,13
139,167,129	105,88,70	13,13,13
144,175,131	131,108,94	11,11,11
145,173,132	134,111,103	12,12,12
132,160,120	135,112,104	13,17,20
111,138,93	125,93,82	12,17,20
130,157,112	127,97,86	13,19,19
131,158,113	129,99,89	14,20,20
30,74,25	148,147,101	13,19,19
34,76,28	144,143,95	15,16,18
34,76,28	139,141,91	17,17,17
28,64,28	152,146,96	18,18,18
26,62,26	157,149,102	20,20,20
27,63,27	154,143,97	22,22,20
26,56,18	193,180,86	9,11,10
27,54,19	193,180,84	10,12,11
23,50,15	195,182,86	11,13,12
54,94,41	142,117,110	9,13,12
56,96,43	142,117,110	8,12,11
57,98,42	148,126,115	12,13,15
121,153,106	104,99,79	12,13,15
138,166,125	105,92,73	12,12,14
150,178,138	105,90,71	11,11,11
153,184,140	136,110,97	12,12,12
148,179,137	138,114,102	14,18,21
129,157,117	132,108,96	13,18,21
107,136,88	127,95,84	13,19,19
115,144,96	128,98,87	13,19,19
114,143,95	128,98,88	13,18,21
31,74,29	150,149,105	13,17,20
34,75,31	144,143,97	17,18,20
34,75,31	136,138,89	19,19,21
27,62,29	154,148,98	22,22,22
25,60,27	158,147,101	23,23,23
27,62,29	153,142,96	10,10,10
24,54,20	193,178,85	11,11,11
25,52,19	196,181,88	11,13,12
23,50,19	197,184,92	11,12,14
53,93,41	149,124,119	11,12,14
55,95,43	148,123,116	13,14,16
55,95,42	150,128,117	12,13,15
114,146,99	103,98,78	12,12,14
129,157,116	104,93,73	11,11,11
137,165,125	103,90,71	11,11,11
142,173,129	136,110,95	15,19,22
140,171,130	141,115,100	13,18,21
132,160,122	134,108,95	13,19,19
101,130,82	124,96,85	12,18,18
102,131,83	127,100,89	12,17,20
110,139,91	127,100,89	12,16,19
32,73,33	143,145,98	16,17,19
34,72,33	141,143,94	18,18,20
34,72,33	137,141,90	21,21,21
67,135,34	117,115,76	22,22,22
67,135,34	117,119,80	9,9,9
64,135,33	119,123,90	11,11,11
71,138,43	107,114,60	11,11,11
70,140,44	105,112,61	11,11,13
68,140,41	104,110,64	12,12,14
84,150,50	206,199,129	12,13,15
85,151,51	203,196,128	12,14,13
88,154,54	202,194,129	12,12,12
80,132,66	137,110,81	11,11,11
84,135,66	132,106,73	10,10,10
86,137,68	134,108,71	13,18,21
65,133,34	105,95,85	12,17,20
62,133,31	108,100,89	9,17,19
63,134,30	114,105,96	10,15,18
70,137,40	89,78,74	10,15,18
69,139,43	82,71,65	10,15,18
67,139,40	78,65,57	13,17,20
81,149,48	133,111,98	13,17,20
81,149,48	132,110,97	18,19,21
86,154,55	129,110,96	18,19,21
84,134,71	120,118,79	10,10,10
87,140,72	119,121,82	11,11,11
92,143,74	117,121,88	11,11,11
63,131,32	106,113,59	12,12,12
59,130,28	104,111,60	14,14,14
59,130,26	102,108,62	11,12,14
70,137,40	206,198,126	10,12,11
68,138,42	204,197,127	12,12,12
65,137,38	204,197,129	11,11,11
77,145,44	135,108,79	10,10,10
80,148,47	133,107,74	12,17,20
84,152,53	133,107,70	10,15,18
88,138,75	108,98,88	7,15,17
90,143,75	107,99,88	10,15,18
93,144,75	108,99,90	10,15,18
92,151,61	81,70,66	9,14,17
84,143,53	81,70,64	11,15,18
78,136,49	80,67,59	11,15,18
76,139,48	127,102,95	15,16,18
80,139,49	128,103,96	14,15,17
83,142,50	132,107,100	10,10,10
72,140,39	121,119,80	10,10,10
74,142,43	117,119,82	11,11,11
75,142,45	112,115,84	14,12,13
63,136,29	105,116,60	18,16,17
64,137,30	102,112,59	29,33,32
65,136,30	100,108,57	24,28,29
99,151,87	204,196,121	20,24,27
97,149,83	205,197,124	16,17,21
93,145,79	205,198,128	13,14,16
75,137,40	130,103,76	9,11,10
77,138,45	129,102,72	7,11,10
79,139,43	131,105,70	7,11,10
95,151,62	111,101,89	8,10,9
83,142,52	107,97,88	8,10,7
76,134,47	111,101,92	16,16,14
74,139,47	79,70,65	18,19,14
77,137,47	82,73,66	19,20,15
75,138,47	78,69,60	19,20,14
73,141,42	123,95,91	20,22,11
76,143,46	127,100,93	12,12,12
78,145,50	129,104,97	12,12,12
63,139,31	138,119,79	11,11,11
67,140,32	136,121,80	9,9,9
64,137,29	136,124,84	8,8,8
98,150,86	151,126,96	25,29,28
95,147,81	141,117,83	26,30,31
94,146,80	133,107,72	22,26,29
78,139,44	84,83,65	17,18,22
80,139,47	87,84,67	13,14,16
81,140,46	86,83,68	9,11,10
92,148,61	110,101,96	6,10,9
83,142,52	101,91,89	6,10,9
79,137,50	94,83,81	8,10,9
72,137,47	109,97,73	8,10,7
74,134,44	112,100,74	15,15,13
72,135,44	121,107,81	17,18,13
74,142,43	128,111,93	18,19,14
78,145,48	119,103,80	18,19,13
80,147,52	109,91,67	19,20,14
67,143,35	140,118,81	10,10,10
67,140,32	140,122,84	11,11,11
64,137,29	137,125,87	10,10,10
99,151,87	149,124,94	8,8,8
98,150,84	139,115,81	9,9,9
95,147,81	131,105,70	24,26,25
77,138,43	77,79,58	22,26,27
80,139,49	80,77,60	23,24,28
79,138,44	80,77,62	21,20,25
70,113,41	101,92,87	17,18,20
71,114,43	103,89,88	8,10,9
73,116,47	100,84,84	5,9,8
97,150,68	119,106,87	6,10,11
99,152,74	122,110,88	8,10,9
99,151,76	127,112,91	7,7,7
74,143,52	122,105,87	15,15,13
72,141,48	117,101,78	17,18,13
70,139,46	108,90,66	17,18,12
81,141,53	142,118,84	18,19,14
82,140,56	142,122,87	19,20,14
80,139,55	139,125,88	7,7,7
78,140,43	145,120,89	8,8,8
80,139,45	136,112,76	8,8,8
82,141,51	132,106,69	7,7,7
74,138,52	66,70,45	10,8,9
73,137,51	70,69,49	20,21,23
73,137,51	71,68,51	19,23,26
72,115,44	101,90,86	21,22,26
71,114,45	106,92,89	19,18,23
73,116,47	105,89,89	17,17,19
98,151,69	126,115,97	8,10,9
96,149,71	127,116,98	5,9,8
92,146,68	129,118,100	5,9,10
76,147,53	115,98,80	8,10,9
76,147,55	115,99,76	8,8,8
72,143,49	115,99,74	15,15,13
78,140,54	199,175,77	17,18,13
80,142,56	197,173,75	17,18,13
80,142,56	196,172,74	18,19,14
75,139,43	206,189,119	20,21,16
81,142,49	208,190,118	7,7,7
84,143,51	208,188,117	8,8,8
74,138,52	210,194,116	8,8,8
72,136,50	210,194,116	8,8,8
74,136,50	211,195,117	10,8,9
75,118,49	155,137,53	21,22,26
72,115,46	154,136,52	19,20,24
72,114,48	152,134,50	21,20,26
93,146,64	210,187,145	20,20,22
92,145,67	209,185,141	18,18,20
89,143,65	204,181,137	8,10,9
76,147,53	222,207,140	5,9,10
75,146,54	221,206,139	4,8,9
74,145,51	221,206,137	8,10,9
80,142,56	202,178,80	9,9,9
80,142,56	201,177,81	13,13,13
79,141,55	200,175,82	15,15,13
75,139,43	202,185,113	15,16,11
80,141,48	205,187,113	17,17,15
80,139,47	207,187,114	18,18,16
75,139,53	209,193,115	5,5,5
74,138,52	211,195,117	7,7,7
72,134,48	211,195,117	9,7,8
55,102,30	154,136,52	9,7,8
56,102,30	153,135,49	10,9,7
60,105,36	152,134,50	9,9,11
75,120,61	209,186,144	11,11,11
72,120,62	210,186,142	13,13,13
70,120,61	209,185,141	19,15,14
27,54,11	223,208,141	22,18,17
27,52,12	222,207,140	19,15,12
25,50,10	221,206,137	21,16,13
27,54,11	204,181,85	21,16,13
27,52,12	205,182,86	19,14,11
25,50,10	203,180,86	16,12,9
91,154,65	201,183,107	5,10,13
90,150,62	204,185,109	5,9,12
93,153,63	207,185,110	3,6,11
69,136,41	207,192,111	6,7,11
63,133,35	209,194,113	6,7,11
60,130,31	209,194,113	11,12,16
51,98,26	154,134,48	9,10,14
52,98,26	154,134,48	8,9,13
58,103,34	153,133,47	10,11,13
73,119,57	206,185,140	10,11,13
71,119,59	208,187,140	9,9,11
70,118,58	211,187,143	11,11,11
28,55,12	223,208,141	13,13,13
24,51,8	223,208,141	17,13,14
24,49,9	222,207,138	19,15,16
28,55,12	195,175,88	20,16,13
24,51,8	197,176,87	21,16,13
24,49,9	199,179,92	21,16,13
96,155,71	211,195,107	19,14,11
100,159,75	208,192,107	16,12,9
102,160,76	206,191,108	4,9,12
65,132,37	209,201,138	4,8,11
63,130,35	212,204,142	3,6,11
60,130,32	215,206,147	6,7,11
53,100,28	206,192,131	6,7,11
52,98,26	201,186,121	13,14,18
54,99,30	202,185,115	11,12,16
72,118,56	213,195,131	11,12,16
73,118,59	212,194,130	10,11,13
71,119,59	212,194,132	9,10,12
27,54,11	174,182,45	10,10,12
24,51,8	174,184,51	11,11,13
23,48,8	176,185,56	11,11,11
27,54,11	195,175,86	12,10,11
24,51,8	197,176,85	11,9,10
23,48,8	197,177,88	20,16,13
96,155,75	211,195,108	21,16,13
100,157,78	209,192,110	21,16,13
105,162,83	208,193,112	20,15,12
63,130,35	209,201,138	17,13,10
64,131,36	211,203,141	5,9,12
61,131,33	213,204,145	4,8,11
67,131,47	208,196,136	6,7,12
67,133,46	200,186,123	6,7,11
67,133,46	206,191,124	7,8,12
59,112,40	213,195,131	12,13,17
56,108,33	213,195,131	10,11,13
57,109,34	212,194,132	7,11,12
29,66,15	173,180,48	7,11,12
27,65,14	174,183,54	8,12,13
26,65,12	177,186,59	10,9,14
69,121,49	196,175,82	10,10,12
68,120,45	197,176,83	9,9,9
67,119,44	198,179,85	10,8,9
58,127,11	213,197,112	9,7,8
56,124,11	212,195,113	19,15,12
55,125,13	212,196,118	20,15,12
87,145,61	212,205,137	21,16,13
87,145,60	212,204,139	21,16,13
87,145,58	212,202,140	18,14,11
70,133,52	206,196,137	4,8,11
70,134,48	210,199,137	4,8,11
69,133,47	219,206,138	7,8,13
59,112,40	212,193,127	7,8,12
59,111,36	214,196,130	7,8,12
59,111,36	214,196,130	11,12,16
29,66,14	172,179,47	9,10,12
27,66,13	173,182,53	6,10,11
25,64,11	175,184,59	6,10,11
69,122,50	208,188,135	8,12,13
67,119,45	212,192,139	11,10,15
68,118,45	216,196,145	9,8,13
58,128,14	212,196,109	7,7,9
55,125,9	210,195,104	8,8,8
53,126,11	206,193,101	8,8,8
87,146,62	199,185,86	18,14,11
87,145,60	197,183,84	18,14,11
86,146,60	198,184,87	19,15,12
71,133,56	213,201,141	18,14,11
71,134,53	214,202,142	17,13,10
70,133,52	214,202,144	2,7,10
59,112,40	131,99,60	4,8,11
61,113,38	134,101,60	5,9,12
61,113,38	135,102,61	6,10,13
30,67,15	113,83,45	8,9,13
28,67,14	114,84,46	8,9,13
27,66,13	113,85,48	5,9,10
72,125,55	207,187,136	5,9,10
69,121,47	211,191,140	5,10,13
68,118,45	214,194,144	7,12,15
59,129,15	212,196,109	5,9,12
58,128,12	210,195,104	7,8,10
53,126,11	208,193,100	7,8,10
95,154,70	202,188,89	6,10,11
93,151,66	200,186,87	5,11,11
88,148,62	199,185,88	9,9,9
82,139,45	212,200,140	10,8,9
81,138,43	213,201,143	11,10,8
82,139,42	213,201,143	12,11,7
76,141,47	126,94,55	12,11,7
75,142,49	129,96,55	4,12,15
77,143,53	130,97,56	4,9,13
65,118,40	111,81,43	4,9,13
61,116,35	112,82,44	4,9,13
62,117,36	111,83,46	5,10,13
80,135,51	209,187,137	9,13,14
79,134,51	212,190,141	13,12,17
74,132,48	213,193,143	12,13,17
87,152,52	212,196,108	12,13,17
83,149,49	213,196,106	9,13,16
81,149,50	212,195,103	4,8,11
79,146,53	203,188,87	5,6,8
79,146,53	201,186,85	6,7,9
82,147,53	198,184,87	5,9,10
72,136,42	216,204,146	4,10,10
67,131,37	214,202,144	10,10,10
